Format Version,1.23,Take Name,Take 2023-04-19 05.19.59 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-04-19 05.20.00.435 오후,Capture Start Frame,243691,Total Frames in Take,1760,Total Exported Frames,1760,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7",probe,probe,probe,probe,probe,probe,probe,probe,"probe:Marker1","probe:Marker1","probe:Marker1","probe:Marker1","probe:Marker2","probe:Marker2","probe:Marker2","probe:Marker2","probe:Marker3","probe:Marker3","probe:Marker3","probe:Marker3","probe:Marker4","probe:Marker4","probe:Marker4","probe:Marker4",Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093,c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker7,test1:Marker7,test1:Marker7
,ID,"BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","8089B12FDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","C73A0","C73A0","C73A0","C7650","C7650","C7650","C7600","C7600","C7600","C7610","C7610","C7610","C7690","C7690","C7690","C73F0","C73F0","C73F0","C73B0","C73B0","C73B0","C7400","C7400","C7400","C7510","C7510","C7510","C7140","C7140","C7140","C7450","C7450","C7450","C72B0","C72B0","C72B0","C71C0","C71C0","C71C0","C7620","C7620","C7620","C76A0","C76A0","C76A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002335,0.042114,-0.659893,-0.750175,-0.004399,0.460449,0.212621,0.000821,0.094662,0.467032,0.219899,0.950142,-0.041377,0.500143,0.211757,0.651222,0.000124,0.427652,0.209462,0.808122,-0.071004,0.446970,0.209366,0.765925,0.009293,-0.760841,-0.648433,-0.023884,-0.163429,0.057494,0.346845,0.000829,-0.202406,0.045964,0.351562,0.894330,-0.138357,0.059231,0.347054,0.948711,-0.104386,0.099636,0.324343,0.784195,-0.109407,0.004302,0.383089,0.921809,-0.167982,0.099933,0.320165,0.965592,-0.216238,0.087297,0.325546,0.000000,-0.205225,0.006098,0.376154,0.884184,0.264846,0.743723,0.513596,0.336083,0.038115,0.110839,0.065847,0.000916,0.135306,0.189599,0.051703,0.703289,0.174246,0.218751,0.039409,0.938973,0.194146,0.270284,0.020208,0.583471,0.258752,0.246725,0.025174,0.865546,0.135460,0.189509,0.050529,0.174165,0.218780,0.039181,0.194097,0.270242,0.021873,0.258615,0.246784,0.025691,-0.215664,0.100718,0.317078,0.094628,0.466853,0.219981,-0.041600,0.500331,0.210392,0.000236,0.427888,0.210183,-0.070833,0.446757,0.210261,-0.202518,0.046197,0.351228,-0.138478,0.059160,0.347204,-0.104258,0.099595,0.325196,-0.109333,0.004556,0.383257,-0.167976,0.099970,0.320032,-0.205176,0.005756,0.375846
1,0.008333,0.002221,0.043309,-0.659855,-0.750140,-0.004435,0.460454,0.212548,0.000835,0.094614,0.467024,0.220001,0.953802,-0.041412,0.500149,0.211693,0.664990,0.000093,0.427662,0.209339,0.801250,-0.071035,0.446981,0.209160,0.751412,0.009297,-0.760727,-0.648565,-0.023907,-0.163429,0.057493,0.346843,0.000828,-0.202406,0.045962,0.351555,0.891678,-0.138357,0.059229,0.347055,0.946933,-0.104384,0.099641,0.324359,0.789874,-0.109409,0.004287,0.383071,0.916118,-0.167981,0.099941,0.320178,0.965786,-0.216237,0.087304,0.325552,0.000000,-0.205228,0.006087,0.376133,0.884415,0.266162,0.743429,0.514018,0.335048,0.038103,0.110882,0.065905,0.000915,0.135319,0.189600,0.051707,0.695407,0.174251,0.218752,0.039386,0.949154,0.194143,0.270314,0.020258,0.610402,0.258743,0.246695,0.025008,0.826813,0.135468,0.189522,0.050500,0.174169,0.218782,0.039202,0.194099,0.270237,0.021814,0.258607,0.246784,0.025681,-0.215647,0.100731,0.317136,0.094541,0.466855,0.220008,-0.041599,0.500363,0.210384,0.000232,0.427888,0.210089,-0.070875,0.446739,0.210111,-0.202519,0.046191,0.351205,-0.138478,0.059166,0.347217,-0.104262,0.099593,0.325189,-0.109329,0.004547,0.383268,-0.167973,0.099979,0.320047,-0.205179,0.005743,0.375827
2,0.016667,0.001946,0.042421,-0.659881,-0.750169,-0.004386,0.460447,0.212683,0.000828,0.094675,0.467025,0.219963,0.953802,-0.041366,0.500141,0.211861,0.664990,0.000137,0.427653,0.209492,0.801250,-0.070991,0.446970,0.209418,0.751412,0.009196,-0.760774,-0.648513,-0.023852,-0.163428,0.057492,0.346844,0.000831,-0.202406,0.045965,0.351566,0.891678,-0.138356,0.059226,0.347050,0.946933,-0.104385,0.099632,0.324341,0.789874,-0.109406,0.004287,0.383067,0.916118,-0.167982,0.099936,0.320174,0.965786,-0.216238,0.087305,0.325560,0.000000,-0.205225,0.006094,0.376149,0.884415,0.266199,0.743481,0.513945,0.335016,0.038107,0.110882,0.065894,0.000916,0.135324,0.189595,0.051671,0.695407,0.174255,0.218743,0.039340,0.949154,0.194146,0.270303,0.020203,0.610402,0.258746,0.246681,0.024945,0.826813,0.135476,0.189517,0.050462,0.174176,0.218766,0.039115,0.194099,0.270233,0.021781,0.258603,0.246767,0.025646,-0.215646,0.100729,0.317135,0.094625,0.466847,0.220008,-0.041598,0.500368,0.210406,0.000248,0.427882,0.210208,-0.070787,0.446727,0.210469,-0.202513,0.046194,0.351233,-0.138480,0.059151,0.347209,-0.104263,0.099590,0.325195,-0.109327,0.004545,0.383246,-0.167974,0.099978,0.320034,-0.205175,0.005758,0.375848
3,0.025000,0.002240,0.042333,-0.659825,-0.750223,-0.004402,0.460464,0.212626,0.000828,0.094658,0.467028,0.219926,0.950333,-0.041375,0.500164,0.211772,0.640974,0.000116,0.427667,0.209453,0.806413,-0.071009,0.446997,0.209352,0.753226,0.009250,-0.760779,-0.648506,-0.023878,-0.163430,0.057487,0.346841,0.000829,-0.202408,0.045958,0.351559,0.896557,-0.138358,0.059222,0.347050,0.948000,-0.104387,0.099629,0.324344,0.789929,-0.109409,0.004285,0.383072,0.917239,-0.167984,0.099931,0.320170,0.963495,-0.216240,0.087296,0.325551,0.000000,-0.205228,0.006087,0.376143,0.882586,0.269087,0.742261,0.515638,0.332805,0.038065,0.110890,0.065731,0.000921,0.135338,0.189550,0.051608,0.701563,0.174259,0.218724,0.039301,0.949533,0.194143,0.270384,0.020429,0.669864,0.258727,0.246631,0.024716,0.759323,0.135469,0.189497,0.050423,0.174175,0.218763,0.039122,0.194100,0.270220,0.021739,0.258608,0.246781,0.025659,-0.215656,0.100717,0.317105,0.094622,0.466846,0.219998,-0.041599,0.500370,0.210368,0.000217,0.427914,0.210180,-0.070823,0.446760,0.210292,-0.202515,0.046194,0.351236,-0.138479,0.059158,0.347207,-0.104265,0.099581,0.325174,-0.109332,0.004543,0.383264,-0.167978,0.099967,0.320029,-0.205180,0.005742,0.375828
4,0.033333,0.002666,0.041837,-0.659914,-0.750171,-0.004402,0.460446,0.212591,0.000821,0.094659,0.467036,0.219865,0.950333,-0.041380,0.500139,0.211692,0.640974,0.000121,0.427646,0.209460,0.806413,-0.071006,0.446964,0.209346,0.753226,0.009273,-0.760799,-0.648481,-0.023897,-0.163428,0.057490,0.346844,0.000828,-0.202406,0.045961,0.351560,0.896557,-0.138356,0.059225,0.347054,0.948000,-0.104383,0.099632,0.324347,0.789929,-0.109408,0.004291,0.383081,0.917239,-0.167980,0.099932,0.320169,0.963495,-0.216236,0.087298,0.325549,0.000000,-0.205227,0.006092,0.376147,0.882586,0.266748,0.743348,0.514144,0.334568,0.038104,0.110883,0.065876,0.000915,0.135330,0.189582,0.051634,0.701563,0.174257,0.218732,0.039293,0.949533,0.194143,0.270305,0.020189,0.669864,0.258741,0.246660,0.024841,0.759323,0.135477,0.189512,0.050432,0.174176,0.218758,0.039083,0.194101,0.270210,0.021752,0.258605,0.246771,0.025617,-0.215644,0.100729,0.317143,0.094627,0.466859,0.219948,-0.041585,0.500325,0.210392,0.000238,0.427888,0.210213,-0.070865,0.446745,0.210109,-0.202516,0.046197,0.351227,-0.138484,0.059167,0.347222,-0.104258,0.099587,0.325202,-0.109331,0.004541,0.383253,-0.167972,0.099963,0.320027,-0.205172,0.005753,0.375843
5,0.041667,0.002422,0.041977,-0.659933,-0.750147,-0.004384,0.460442,0.212657,0.000828,0.094677,0.467035,0.219924,0.949863,-0.041366,0.500132,0.211784,0.640059,0.000141,0.427644,0.209508,0.816866,-0.070988,0.446956,0.209412,0.728298,0.009260,-0.760732,-0.648560,-0.023898,-0.163429,0.057493,0.346847,0.000829,-0.202406,0.045963,0.351562,0.893004,-0.138357,0.059228,0.347057,0.944220,-0.104384,0.099638,0.324359,0.786879,-0.109410,0.004285,0.383073,0.922965,-0.167980,0.099940,0.320182,0.965033,-0.216237,0.087306,0.325559,0.000000,-0.205228,0.006089,0.376140,0.886574,0.264818,0.743893,0.513404,0.336024,0.038148,0.110814,0.065786,0.000912,0.135329,0.189574,0.051579,0.695520,0.174264,0.218723,0.039262,0.948549,0.194155,0.270248,0.020033,0.597055,0.258764,0.246696,0.024991,0.845436,0.135489,0.189492,0.050374,0.174176,0.218743,0.039077,0.194112,0.270201,0.021643,0.258620,0.246764,0.025588,-0.215649,0.100727,0.317110,0.094627,0.466856,0.219999,-0.041596,0.500330,0.210376,0.000255,0.427876,0.210193,-0.070787,0.446735,0.210457,-0.202517,0.046193,0.351218,-0.138476,0.059163,0.347234,-0.104260,0.099591,0.325201,-0.109336,0.004537,0.383234,-0.167974,0.099980,0.320048,-0.205176,0.005751,0.375842
