Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_008,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.33.28.044 오후,Capture Start Frame,512948,Total Frames in Take,350,Total Exported Frames,350,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7",Unlabeled 1345,Unlabeled 1345,Unlabeled 1345,Unlabeled 1346,Unlabeled 1346,Unlabeled 1346,Unlabeled 1347,Unlabeled 1347,Unlabeled 1347,Unlabeled 1349,Unlabeled 1349,Unlabeled 1349,c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker6,test1:Marker6,test1:Marker6,test1:Marker7,test1:Marker7,test1:Marker7
,ID,"BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","C7930","C7930","C7930","C7940","C7940","C7940","C7950","C7950","C7950","C7970","C7970","C7970","C7350","C7350","C7350","C73B0","C73B0","C73B0","C73C0","C73C0","C73C0","C73A0","C73A0","C73A0","C7320","C7320","C7320","C7360","C7360","C7360","C7400","C7400","C7400","C7370","C7370","C7370","C7380","C7380","C7380","C7390","C7390","C7390","C7310","C7310","C7310"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.657480,0.751240,0.028717,0.050334,0.045432,0.614107,-0.572029,0.000937,-0.053227,0.620248,-0.583781,0.974031,0.082015,0.654000,-0.568297,0.651662,0.041025,0.581203,-0.570018,0.746418,0.111915,0.600976,-0.566020,0.671779,-0.020506,0.311068,-0.240086,-0.919334,0.039442,0.276339,-0.408831,0.001094,0.078055,0.266112,-0.418127,0.931312,-0.016551,0.246660,-0.463214,0.963085,0.014495,0.279163,-0.408120,0.852603,0.093460,0.292038,-0.377991,0.792449,0.046056,0.303013,-0.366728,0.909500,-0.017753,0.306437,-0.369504,0.977323,0.078431,0.241067,-0.458388,0.917364,,,,,,,,,,,,,-0.053145,0.620214,-0.583834,0.081952,0.653663,-0.566947,0.041061,0.581556,-0.570968,0.111839,0.601179,-0.567315,0.078131,0.266234,-0.417893,-0.016640,0.246660,-0.463332,0.014586,0.278991,-0.407564,0.093579,0.292164,-0.378803,0.045869,0.302894,-0.366441,-0.017805,0.306480,-0.369565,0.078418,0.240894,-0.458107
1,0.008333,0.657425,0.751326,0.028261,0.050026,0.045426,0.614112,-0.572093,0.000949,-0.053246,0.620233,-0.583741,0.974031,0.082007,0.654012,-0.568412,0.651662,0.041027,0.581208,-0.570068,0.746418,0.111918,0.600994,-0.566152,0.671779,-0.020571,0.311030,-0.240073,-0.919349,0.039450,0.276351,-0.408871,0.001096,0.078062,0.266125,-0.418172,0.931312,-0.016549,0.246677,-0.463251,0.963085,0.014503,0.279174,-0.408157,0.852603,0.093471,0.292046,-0.378035,0.792449,0.046068,0.303021,-0.366765,0.909500,-0.017740,0.306443,-0.369535,0.977323,0.078434,0.241085,-0.458436,0.917364,,,,,,,,,,,,,-0.053132,0.620211,-0.583826,0.081905,0.653709,-0.567281,0.041058,0.581547,-0.570959,0.111857,0.601167,-0.567337,0.078136,0.266220,-0.417877,-0.016636,0.246666,-0.463336,0.014583,0.278988,-0.407554,0.093608,0.292258,-0.379125,0.045867,0.302883,-0.366413,-0.017800,0.306479,-0.369561,0.078419,0.240890,-0.458084
2,0.016667,0.657435,0.751318,0.027960,0.050185,0.045427,0.614111,-0.572016,0.000946,-0.053247,0.620231,-0.583653,0.963999,0.082011,0.654012,-0.568367,0.706118,0.041026,0.581209,-0.569968,0.761451,0.111919,0.600993,-0.566076,0.700178,-0.020499,0.311005,-0.240111,-0.919349,0.039450,0.276356,-0.408874,0.001094,0.078062,0.266130,-0.418174,0.920444,-0.016549,0.246671,-0.463248,0.969351,0.014503,0.279179,-0.408161,0.840936,0.093471,0.292058,-0.378041,0.720266,0.046068,0.303033,-0.366773,0.892887,-0.017741,0.306453,-0.369542,0.981298,0.078434,0.241082,-0.458433,0.899249,,,,,,,,,,,,,-0.053153,0.620197,-0.583689,0.081944,0.653671,-0.566984,0.041055,0.581558,-0.570946,0.111826,0.601214,-0.567436,0.078128,0.266215,-0.417847,-0.016636,0.246678,-0.463367,0.014590,0.279002,-0.407610,0.093612,0.292255,-0.379093,0.045872,0.302910,-0.366443,-0.017805,0.306479,-0.369553,0.078428,0.240872,-0.458046
3,0.025000,0.657372,0.751402,0.027832,0.049825,0.045411,0.614113,-0.572071,0.000947,-0.053273,0.620215,-0.583635,0.973537,0.081988,0.654020,-0.568437,0.643500,0.041018,0.581209,-0.570028,0.740238,0.111909,0.601007,-0.566182,0.654736,-0.020530,0.311098,-0.240066,-0.919329,0.039445,0.276340,-0.408832,0.001091,0.078059,0.266113,-0.418126,0.913977,-0.016546,0.246667,-0.463219,0.963031,0.014498,0.279165,-0.408122,0.853696,0.093462,0.292036,-0.377988,0.730163,0.046058,0.303012,-0.366726,0.899369,-0.017751,0.306436,-0.369505,0.982665,0.078436,0.241071,-0.458389,0.889848,,,,,,,,,,,,,-0.053166,0.620189,-0.583677,0.081904,0.653707,-0.567292,0.041066,0.581546,-0.570950,0.111819,0.601204,-0.567434,0.078136,0.266236,-0.417896,-0.016632,0.246683,-0.463367,0.014585,0.278991,-0.407586,0.093579,0.292169,-0.378807,0.045868,0.302879,-0.366402,-0.017803,0.306477,-0.369544,0.078417,0.240892,-0.458095
4,0.033333,0.657419,0.751335,0.028021,0.050113,0.045412,0.614121,-0.572094,0.000940,-0.053263,0.620237,-0.583727,0.970736,0.081993,0.654023,-0.568439,0.702486,0.041012,0.581218,-0.570052,0.754441,0.111904,0.601005,-0.566159,0.682231,-0.020624,0.310983,-0.240135,-0.919347,0.039449,0.276359,-0.408892,0.001092,0.078062,0.266139,-0.418197,0.931996,-0.016551,0.246679,-0.463266,0.957036,0.014502,0.279178,-0.408175,0.857526,0.093471,0.292061,-0.378061,0.790363,0.046068,0.303028,-0.366786,0.900483,-0.017742,0.306441,-0.369548,0.980773,0.078433,0.241100,-0.458462,0.913626,,,,,,,,,,,,,-0.053149,0.620214,-0.583800,0.081901,0.653716,-0.567298,0.041061,0.581555,-0.570940,0.111816,0.601193,-0.567425,0.078140,0.266227,-0.417877,-0.016639,0.246687,-0.463391,0.014585,0.278999,-0.407615,0.093616,0.292264,-0.379100,0.045865,0.302893,-0.366470,-0.017803,0.306483,-0.369590,0.078421,0.240879,-0.458049
5,0.041667,0.657418,0.751300,0.028646,0.050290,0.045411,0.614120,-0.572116,0.000940,-0.053251,0.620244,-0.583852,0.965671,0.081988,0.654020,-0.568392,0.703540,0.041010,0.581216,-0.570102,0.762244,0.111897,0.601001,-0.566117,0.679260,-0.020571,0.311091,-0.240053,-0.919333,0.039445,0.276334,-0.408819,0.001097,0.078058,0.266108,-0.418116,0.914687,-0.016548,0.246664,-0.463207,0.961867,0.014498,0.279158,-0.408108,0.851545,0.093463,0.292027,-0.377976,0.732815,0.046059,0.303002,-0.366711,0.900337,-0.017750,0.306427,-0.369488,0.978734,0.078434,0.241069,-0.458381,0.882673,,,,,,,,,,,,,-0.053149,0.620210,-0.583845,0.081898,0.653713,-0.567272,0.041053,0.581553,-0.570979,0.111812,0.601200,-0.567441,0.078137,0.266223,-0.417854,-0.016638,0.246664,-0.463338,0.014586,0.278996,-0.407557,0.093582,0.292150,-0.378807,0.045870,0.302897,-0.366456,-0.017801,0.306457,-0.369509,0.078423,0.240894,-0.458086
