Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.33.52.381 오후,Capture Start Frame,515868,Total Frames in Take,535,Total Exported Frames,535,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7",Unlabeled 1361,Unlabeled 1361,Unlabeled 1361,Unlabeled 1362,Unlabeled 1362,Unlabeled 1362,Unlabeled 1363,Unlabeled 1363,Unlabeled 1363,Unlabeled 1365,Unlabeled 1365,Unlabeled 1365,Unlabeled 1366,Unlabeled 1366,Unlabeled 1366,c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker6,test1:Marker6,test1:Marker6,test1:Marker7,test1:Marker7,test1:Marker7
,ID,"BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","C7A20","C7A20","C7A20","C7C60","C7C60","C7C60","C6E60","C6E60","C6E60","C7CA0","C7CA0","C7CA0","C7CB0","C7CB0","C7CB0","C7350","C7350","C7350","C73B0","C73B0","C73B0","C73C0","C73C0","C73C0","C73A0","C73A0","C73A0","C7320","C7320","C7320","C7360","C7360","C7360","C7400","C7400","C7400","C7370","C7370","C7370","C7380","C7380","C7380","C7390","C7390","C7390","C7310","C7310","C7310"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.624027,0.779078,0.028274,0.053180,0.007214,0.622828,-0.572665,0.000946,-0.091568,0.620295,-0.584711,0.944754,0.040195,0.665772,-0.569224,0.770053,0.005665,0.589687,-0.570352,0.723278,0.074564,0.615560,-0.566372,0.679400,-0.020696,0.311042,-0.240035,-0.919352,0.039448,0.276350,-0.408870,0.001094,0.078060,0.266127,-0.418175,0.921122,-0.016553,0.246690,-0.463255,0.970464,0.014501,0.279173,-0.408154,0.843959,0.093470,0.292038,-0.378032,0.743414,0.046068,0.303009,-0.366757,0.904847,-0.017741,0.306432,-0.369523,0.979781,0.078430,0.241097,-0.458445,0.904040,-0.134052,0.673393,-0.528794,,,,,,,,,,,,,-0.091351,0.620249,-0.584710,0.040116,0.665548,-0.568335,0.005656,0.590009,-0.571411,0.074450,0.615726,-0.567638,0.078131,0.266221,-0.417882,-0.016638,0.246681,-0.463336,0.014585,0.278994,-0.407562,0.093609,0.292231,-0.379031,0.045869,0.302879,-0.366460,-0.017804,0.306470,-0.369557,0.078411,0.240906,-0.458113
1,0.008333,0.623877,0.779288,0.028628,0.051652,0.007233,0.622835,-0.572781,0.000940,-0.091570,0.620269,-0.584641,0.944754,0.040194,0.665791,-0.569300,0.770053,0.005709,0.589687,-0.570546,0.723278,0.074600,0.615593,-0.566637,0.679400,-0.020450,0.311045,-0.240084,-0.919343,0.039446,0.276338,-0.408825,0.001097,0.078059,0.266108,-0.418120,0.921122,-0.016549,0.246655,-0.463203,0.970464,0.014499,0.279163,-0.408114,0.843959,0.093465,0.292038,-0.377987,0.743414,0.046062,0.303017,-0.366724,0.904847,-0.017746,0.306442,-0.369500,0.979781,0.078433,0.241059,-0.458378,0.904040,-0.134056,0.673387,-0.528775,,,,,,,,,,,,,-0.091348,0.620233,-0.584682,0.040109,0.665534,-0.568340,0.005696,0.590017,-0.571628,0.074493,0.615780,-0.567947,0.078135,0.266222,-0.417864,-0.016639,0.246666,-0.463346,0.014585,0.278997,-0.407581,0.093589,0.292166,-0.378802,0.045873,0.302894,-0.366428,-0.017801,0.306491,-0.369574,0.078418,0.240866,-0.458046
2,0.016667,0.623945,0.779181,0.029353,0.052029,0.007216,0.622817,-0.572742,0.000932,-0.091570,0.620277,-0.584751,0.942797,0.040179,0.665764,-0.569183,0.750547,0.005683,0.589668,-0.570531,0.717303,0.074572,0.615558,-0.566502,0.668184,-0.020531,0.311123,-0.240013,-0.919334,0.039443,0.276331,-0.408814,0.001092,0.078056,0.266101,-0.418108,0.927380,-0.016549,0.246665,-0.463205,0.957551,0.014496,0.279158,-0.408105,0.858924,0.093460,0.292019,-0.377967,0.791524,0.046056,0.303000,-0.366707,0.907002,-0.017752,0.306431,-0.369489,0.973846,0.078432,0.241061,-0.458372,0.904048,-0.134049,0.673394,-0.528820,,,,,,,,,,,,,-0.091386,0.620228,-0.584716,0.040112,0.665542,-0.568309,0.005704,0.590000,-0.571626,0.074450,0.615705,-0.567664,0.078132,0.266208,-0.417845,-0.016631,0.246671,-0.463341,0.014582,0.279000,-0.407591,0.093583,0.292149,-0.378786,0.045869,0.302874,-0.366401,-0.017802,0.306477,-0.369549,0.078414,0.240885,-0.458073
3,0.025000,0.623898,0.779274,0.029151,0.051326,0.007237,0.622826,-0.572799,0.000935,-0.091565,0.620272,-0.584677,0.951623,0.040196,0.665779,-0.569261,0.774077,0.005713,0.589675,-0.570605,0.713932,0.074603,0.615578,-0.566654,0.705550,-0.020532,0.311094,-0.240044,-0.919336,0.039446,0.276343,-0.408831,0.001093,0.078058,0.266115,-0.418126,0.926602,-0.016547,0.246673,-0.463218,0.960372,0.014499,0.279169,-0.408121,0.863826,0.093463,0.292036,-0.377988,0.790477,0.046060,0.303014,-0.366725,0.904894,-0.017748,0.306441,-0.369504,0.977242,0.078434,0.241073,-0.458390,0.913272,-0.134017,0.673386,-0.529010,,,,,,,,,,,,,-0.091345,0.620236,-0.584710,0.040116,0.665532,-0.568346,0.005704,0.589997,-0.571667,0.074489,0.615762,-0.567944,0.078136,0.266233,-0.417898,-0.016637,0.246687,-0.463360,0.014583,0.278996,-0.407579,0.093586,0.292163,-0.378776,0.045870,0.302888,-0.366422,-0.017799,0.306503,-0.369627,0.078419,0.240867,-0.458020
4,0.033333,0.623901,0.779282,0.029386,0.051029,0.007242,0.622818,-0.572808,0.000933,-0.091562,0.620268,-0.584670,0.943599,0.040199,0.665769,-0.569244,0.762304,0.005720,0.589665,-0.570637,0.722538,0.074609,0.615569,-0.566680,0.673024,-0.020539,0.311080,-0.240029,-0.919344,0.039444,0.276336,-0.408815,0.001094,0.078056,0.266106,-0.418112,0.932766,-0.016551,0.246667,-0.463201,0.957831,0.014497,0.279162,-0.408104,0.856197,0.093463,0.292026,-0.377973,0.797958,0.046060,0.303005,-0.366709,0.905345,-0.017748,0.306434,-0.369485,0.963067,0.078430,0.241065,-0.458375,0.894083,-0.134020,0.673390,-0.528919,,,,,,,,,,,,,-0.091347,0.620226,-0.584690,0.040117,0.665527,-0.568317,0.005719,0.590006,-0.571737,0.074498,0.615735,-0.567944,0.078131,0.266224,-0.417877,-0.016634,0.246675,-0.463335,0.014585,0.278981,-0.407526,0.093584,0.292166,-0.378817,0.045874,0.302893,-0.366444,-0.017802,0.306466,-0.369512,0.078415,0.240887,-0.458079
5,0.041667,0.623939,0.779189,0.029511,0.051903,0.007224,0.622801,-0.572703,0.000931,-0.091562,0.620262,-0.584714,0.944985,0.040185,0.665748,-0.569127,0.759581,0.005692,0.589651,-0.570506,0.712246,0.074581,0.615543,-0.566466,0.680105,-0.020443,0.311063,-0.240067,-0.919342,0.039445,0.276346,-0.408819,0.001092,0.078057,0.266115,-0.418113,0.931841,-0.016550,0.246665,-0.463199,0.960635,0.014498,0.279172,-0.408109,0.847050,0.093463,0.292043,-0.377980,0.783997,0.046060,0.303024,-0.366718,0.914359,-0.017748,0.306452,-0.369496,0.982714,0.078432,0.241066,-0.458372,0.913506,-0.134049,0.673393,-0.528785,,,,,,,,,,,,,-0.091349,0.620215,-0.584663,0.040115,0.665532,-0.568350,0.005696,0.589970,-0.571615,0.074449,0.615705,-0.567655,0.078136,0.266214,-0.417851,-0.016638,0.246676,-0.463340,0.014592,0.279002,-0.407563,0.093576,0.292178,-0.378798,0.045871,0.302912,-0.366459,-0.017794,0.306495,-0.369557,0.078416,0.240890,-0.458072
