Format Version,1.23,Take Name,Take 2023-05-09 06.27.02 PM_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-09 06.41.58.803 오후,Capture Start Frame,574244,Total Frames in Take,570,Total Exported Frames,570,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7",Unlabeled 1470,Unlabeled 1470,Unlabeled 1470,Unlabeled 1471,Unlabeled 1471,Unlabeled 1471,c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker6,test1:Marker6,test1:Marker6,test1:Marker7,test1:Marker7,test1:Marker7
,ID,"BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","BE1BCB5ACDF511ED1C21E954A5007A9C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","D6DE4FA8EE4A11ED1C21E954A500979C","C8AF0","C8AF0","C8AF0","C8B90","C8B90","C8B90","C89A0","C89A0","C89A0","C8740","C8740","C8740","C8970","C8970","C8970","C8770","C8770","C8770","C8950","C8950","C8950","C89C0","C89C0","C89C0","C8980","C8980","C8980","C89B0","C89B0","C89B0","C88E0","C88E0","C88E0","C8930","C8930","C8930","C8960","C8960","C8960"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.723407,0.688821,0.023924,0.040432,0.110381,0.473939,-0.569926,0.000980,0.014263,0.497958,-0.579608,0.906637,0.153621,0.506517,-0.566360,0.866644,0.100144,0.442337,-0.568297,0.807960,0.173496,0.448942,-0.565440,0.719053,-0.020592,0.311166,-0.239529,-0.919444,0.039495,0.276379,-0.409048,0.001100,0.078098,0.266118,-0.418348,0.920033,-0.016526,0.246787,-0.463450,0.963242,0.014551,0.279228,-0.408337,0.839334,0.093528,0.292005,-0.378197,0.735657,0.046134,0.303023,-0.366930,0.894610,-0.017670,0.306513,-0.369708,0.981239,0.078450,0.241094,-0.458622,0.897845,-0.001668,0.591941,-0.530464,0.096516,0.589404,-0.506282,0.014384,0.497799,-0.579293,0.153524,0.506407,-0.565847,0.100163,0.442686,-0.568981,0.173361,0.449114,-0.566542,0.078174,0.266209,-0.418050,-0.016609,0.246794,-0.463570,0.014629,0.279032,-0.407730,0.093673,0.292201,-0.379225,0.045937,0.302890,-0.366582,-0.017737,0.306545,-0.369722,0.078439,0.240897,-0.458265
1,0.008333,0.723445,0.688772,0.024254,0.040397,0.110384,0.473948,-0.569932,0.000972,0.014272,0.497982,-0.579642,0.899867,0.153625,0.506521,-0.566330,0.876261,0.100144,0.442347,-0.568323,0.809775,0.173495,0.448943,-0.565431,0.725020,-0.020604,0.311241,-0.239477,-0.919432,0.039496,0.276382,-0.409054,0.001096,0.078100,0.266118,-0.418349,0.909304,-0.016520,0.246800,-0.463466,0.969060,0.014552,0.279233,-0.408346,0.829782,0.093526,0.292001,-0.378194,0.730557,0.046132,0.303022,-0.366932,0.913566,-0.017672,0.306518,-0.369719,0.978462,0.078455,0.241098,-0.458626,0.896945,-0.001678,0.591917,-0.530384,0.096532,0.589408,-0.506258,0.014398,0.497822,-0.579297,0.153524,0.506422,-0.565856,0.100162,0.442692,-0.569001,0.173360,0.449107,-0.566510,0.078179,0.266204,-0.418006,-0.016612,0.246795,-0.463549,0.014634,0.279018,-0.407705,0.093664,0.292202,-0.379244,0.045935,0.302907,-0.366672,-0.017741,0.306562,-0.369747,0.078440,0.240896,-0.458267
2,0.016667,0.723409,0.688806,0.023887,0.040688,0.110387,0.473934,-0.569925,0.000980,0.014273,0.497953,-0.579646,0.899867,0.153627,0.506512,-0.566360,0.876261,0.100149,0.442334,-0.568286,0.809775,0.173500,0.448937,-0.565410,0.725020,-0.020643,0.311119,-0.239578,-0.919446,0.039495,0.276380,-0.409055,0.001099,0.078098,0.266124,-0.418359,0.909304,-0.016529,0.246784,-0.463452,0.969060,0.014550,0.279226,-0.408341,0.829782,0.093528,0.292011,-0.378209,0.730557,0.046135,0.303023,-0.366936,0.913566,-0.017670,0.306506,-0.369707,0.978462,0.078449,0.241102,-0.458635,0.896945,-0.002585,0.591377,-0.526536,0.096508,0.589391,-0.506113,0.014402,0.497782,-0.579277,0.153527,0.506416,-0.565894,0.100163,0.442686,-0.568986,0.173359,0.449115,-0.566539,0.078173,0.266207,-0.418043,-0.016612,0.246795,-0.463569,0.014631,0.279019,-0.407707,0.093677,0.292222,-0.379261,0.045939,0.302895,-0.366624,-0.017741,0.306548,-0.369762,0.078433,0.240883,-0.458233
3,0.025000,0.723481,0.688740,0.024852,0.039941,0.110382,0.473958,-0.569935,0.000961,0.014274,0.498009,-0.579633,0.904477,0.153624,0.506524,-0.566275,0.854454,0.100141,0.442355,-0.568376,0.807619,0.173492,0.448945,-0.565457,0.734214,-0.020604,0.311195,-0.239518,-0.919437,0.039497,0.276381,-0.409059,0.001100,0.078100,0.266120,-0.418357,0.916582,-0.016522,0.246792,-0.463465,0.965360,0.014552,0.279230,-0.408350,0.828162,0.093527,0.292005,-0.378204,0.731563,0.046134,0.303024,-0.366939,0.904605,-0.017671,0.306514,-0.369720,0.977344,0.078454,0.241098,-0.458633,0.895789,-0.001670,0.591926,-0.530447,0.096521,0.589389,-0.506207,0.014378,0.497850,-0.579302,0.153554,0.506408,-0.565709,0.100151,0.442694,-0.569067,0.173360,0.449107,-0.566499,0.078172,0.266210,-0.418044,-0.016610,0.246794,-0.463572,0.014631,0.279030,-0.407697,0.093672,0.292208,-0.379249,0.045936,0.302898,-0.366638,-0.017738,0.306553,-0.369768,0.078440,0.240891,-0.458271
4,0.033333,0.723304,0.688994,0.023740,0.039422,0.110366,0.473930,-0.569844,0.000966,0.014222,0.497920,-0.579337,0.904477,0.153598,0.506522,-0.566311,0.854454,0.100145,0.442322,-0.568236,0.807619,0.173499,0.448955,-0.565493,0.734214,-0.020540,0.311158,-0.239539,-0.919446,0.039493,0.276379,-0.409053,0.001099,0.078096,0.266116,-0.418351,0.916582,-0.016527,0.246783,-0.463452,0.965360,0.014549,0.279229,-0.408343,0.828162,0.093526,0.292008,-0.378203,0.731563,0.046132,0.303028,-0.366938,0.904605,-0.017672,0.306519,-0.369716,0.977344,0.078448,0.241089,-0.458623,0.895789,-0.001673,0.591930,-0.530412,0.096517,0.589388,-0.506124,0.014328,0.497726,-0.578884,0.153548,0.506398,-0.565676,0.100149,0.442691,-0.569026,0.173339,0.449150,-0.566667,0.078170,0.266196,-0.418009,-0.016613,0.246775,-0.463531,0.014635,0.279036,-0.407751,0.093663,0.292209,-0.379254,0.045939,0.302907,-0.366632,-0.017738,0.306556,-0.369748,0.078435,0.240898,-0.458287
5,0.041667,0.723457,0.688761,0.024156,0.040425,0.110374,0.473954,-0.569937,0.000968,0.014262,0.497990,-0.579643,0.893164,0.153617,0.506525,-0.566346,0.877603,0.100132,0.442353,-0.568322,0.806952,0.173485,0.448947,-0.565439,0.699782,-0.020669,0.311190,-0.239524,-0.919436,0.039496,0.276382,-0.409061,0.001099,0.078099,0.266123,-0.418362,0.923577,-0.016523,0.246796,-0.463468,0.965668,0.014551,0.279229,-0.408350,0.831062,0.093527,0.292005,-0.378207,0.722068,0.046133,0.303020,-0.366938,0.898614,-0.017672,0.306508,-0.369716,0.981764,0.078453,0.241106,-0.458640,0.890308,-0.002596,0.591375,-0.526544,0.096521,0.589386,-0.506159,0.014390,0.497821,-0.579271,0.153518,0.506426,-0.565877,0.100157,0.442703,-0.569010,0.173332,0.449139,-0.566614,0.078170,0.266221,-0.418081,-0.016609,0.246801,-0.463575,0.014634,0.279029,-0.407710,0.093673,0.292221,-0.379287,0.045930,0.302889,-0.366613,-0.017739,0.306534,-0.369725,0.078437,0.240892,-0.458258
