Format Version,1.23,Take Name,Take 2023-05-20 07.18.27 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-20 07.18.28.369 오후,Capture Start Frame,1168072,Total Frames in Take,167,Total Exported Frames,167,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,probe,probe,probe,probe,probe,probe,probe,probe,"probe:Marker1","probe:Marker1","probe:Marker1","probe:Marker1","probe:Marker2","probe:Marker2","probe:Marker2","probe:Marker2","probe:Marker3","probe:Marker3","probe:Marker3","probe:Marker3","probe:Marker4","probe:Marker4","probe:Marker4","probe:Marker4",c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker5","c-arm:Marker5","c-arm:Marker5","c-arm:Marker5","c-arm:Marker6","c-arm:Marker6","c-arm:Marker6","c-arm:Marker6","c-arm:Marker7","c-arm:Marker7","c-arm:Marker7","c-arm:Marker7","c-arm:Marker8","c-arm:Marker8","c-arm:Marker8","c-arm:Marker8","c-arm:Marker9","c-arm:Marker9","c-arm:Marker9","c-arm:Marker9",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker8","test1:Marker8","test1:Marker8","test1:Marker8",c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,c-arm:Marker5,c-arm:Marker5,c-arm:Marker5,c-arm:Marker6,c-arm:Marker6,c-arm:Marker6,c-arm:Marker7,c-arm:Marker7,c-arm:Marker7,c-arm:Marker8,c-arm:Marker8,c-arm:Marker8,c-arm:Marker9,c-arm:Marker9,c-arm:Marker9,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker6,test1:Marker6,test1:Marker6,test1:Marker7,test1:Marker7,test1:Marker7,test1:Marker8,test1:Marker8,test1:Marker8
,ID,"36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","36FC8609F6E211ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","D22C0","D22C0","D22C0","D2300","D2300","D2300","D22D0","D22D0","D22D0","D24D0","D24D0","D24D0","D2330","D2330","D2330","D2320","D2320","D2320","D2310","D2310","D2310","D22E0","D22E0","D22E0","D22F0","D22F0","D22F0","D23A0","D23A0","D23A0","D2380","D2380","D2380","D23B0","D23B0","D23B0","D2370","D2370","D2370","D2360","D2360","D2360","D2390","D2390","D2390","D2550","D2550","D2550","D2350","D2350","D2350"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,0.032779,-0.072467,0.189452,-0.978663,-0.108810,0.504782,0.283028,0.000996,-0.064286,0.558875,0.414364,0.842946,-0.107670,0.539213,0.149560,0.818429,-0.085781,0.556519,0.238038,0.784589,-0.081587,0.511956,0.448770,0.957105,-0.158827,0.439844,0.198146,0.883365,-0.147622,0.446618,0.265213,0.958528,-0.140583,0.478015,0.169408,0.846295,-0.092069,0.520001,0.282895,0.849908,-0.101018,0.492078,0.380881,0.922839,0.407083,0.508172,-0.202436,0.731481,-0.380907,0.222644,0.424140,0.001274,-0.405818,0.254136,0.415060,0.966147,-0.381792,0.212541,0.399133,0.915095,-0.423524,0.261125,0.368577,0.928719,-0.377988,0.233703,0.460961,0.935750,-0.357216,0.190789,0.429711,0.784403,-0.402469,0.274733,0.476890,0.966745,-0.338377,0.184272,0.475179,0.809157,-0.360063,0.169845,0.367656,0.898105,-0.063731,0.558580,0.414374,-0.108187,0.538914,0.149972,-0.084976,0.556341,0.237788,-0.081592,0.512056,0.448910,-0.159276,0.439808,0.198028,-0.147761,0.446551,0.265152,-0.141175,0.478162,0.169326,-0.091921,0.520557,0.282725,-0.101322,0.492064,0.380927,-0.405789,0.254267,0.415075,-0.381985,0.212766,0.398967,-0.423681,0.260887,0.368594,-0.378232,0.233710,0.460881,-0.358043,0.190549,0.429666,-0.402442,0.274725,0.477020,-0.338579,0.184194,0.475911,-0.360418,0.169789,0.367462
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,0.032785,-0.072486,0.189440,-0.978664,-0.108810,0.504781,0.283027,0.000995,-0.064282,0.558875,0.414360,0.842946,-0.107676,0.539211,0.149558,0.818429,-0.085784,0.556518,0.238035,0.784589,-0.081581,0.511957,0.448768,0.957105,-0.158828,0.439841,0.198146,0.883365,-0.147622,0.446616,0.265213,0.958528,-0.140587,0.478013,0.169408,0.846295,-0.092069,0.520000,0.282892,0.849908,-0.101013,0.492078,0.380879,0.922839,0.407096,0.508171,-0.202406,0.731483,-0.380909,0.222644,0.424142,0.001273,-0.405820,0.254135,0.415062,0.966147,-0.381792,0.212542,0.399134,0.915095,-0.423525,0.261126,0.368579,0.928719,-0.377991,0.233701,0.460963,0.935750,-0.357217,0.190790,0.429712,0.784403,-0.402473,0.274730,0.476893,0.966745,-0.338379,0.184271,0.475179,0.809157,-0.360061,0.169848,0.367655,0.898105,-0.063695,0.558572,0.414367,-0.108190,0.538915,0.149970,-0.085000,0.556349,0.237789,-0.081585,0.512059,0.448904,-0.159295,0.439811,0.198031,-0.147766,0.446547,0.265154,-0.141171,0.478151,0.169324,-0.091943,0.520556,0.282726,-0.101325,0.492067,0.380922,-0.405770,0.254273,0.415069,-0.382018,0.212767,0.398975,-0.423698,0.260888,0.368600,-0.378270,0.233699,0.460892,-0.358055,0.190553,0.429666,-0.402399,0.274722,0.477013,-0.338613,0.184195,0.475929,-0.360401,0.169786,0.367455
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,0.032765,-0.072497,0.189419,-0.978668,-0.108795,0.504781,0.283026,0.000995,-0.064267,0.558871,0.414361,0.852888,-0.107664,0.539218,0.149559,0.823934,-0.085772,0.556522,0.238036,0.783427,-0.081564,0.511950,0.448767,0.962713,-0.158812,0.439844,0.198144,0.891255,-0.147605,0.446616,0.265210,0.949286,-0.140573,0.478017,0.169407,0.845971,-0.092055,0.520001,0.282892,0.852283,-0.100997,0.492074,0.380878,0.964639,0.407033,0.508249,-0.202490,0.731440,-0.380909,0.222643,0.424143,0.001273,-0.405822,0.254134,0.415066,0.957195,-0.381798,0.212538,0.399137,0.908190,-0.423538,0.261119,0.368587,0.927124,-0.377982,0.233704,0.460963,0.933545,-0.357216,0.190789,0.429711,0.774795,-0.402459,0.274735,0.476894,0.966839,-0.338367,0.184275,0.475175,0.801719,-0.360076,0.169841,0.367658,0.901356,-0.063755,0.558583,0.414381,-0.108154,0.538926,0.149972,-0.084966,0.556335,0.237782,-0.081552,0.512043,0.448883,-0.159229,0.439807,0.198023,-0.147790,0.446553,0.265156,-0.141168,0.478156,0.169324,-0.091931,0.520556,0.282730,-0.101135,0.492049,0.380897,-0.405712,0.254265,0.415067,-0.382046,0.212764,0.398986,-0.423704,0.260880,0.368604,-0.378235,0.233713,0.460884,-0.358083,0.190547,0.429675,-0.402443,0.274729,0.477026,-0.338613,0.184191,0.475924,-0.360409,0.169785,0.367453
3,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,0.032764,-0.072585,0.189321,-0.978680,-0.108799,0.504781,0.283027,0.000994,-0.064258,0.558874,0.414357,0.845087,-0.107699,0.539226,0.149561,0.822164,-0.085794,0.556529,0.238035,0.779047,-0.081540,0.511948,0.448763,0.960979,-0.158819,0.439839,0.198149,0.879132,-0.147601,0.446610,0.265215,0.952209,-0.140592,0.478017,0.169411,0.850895,-0.092062,0.520005,0.282890,0.851600,-0.100981,0.492071,0.380876,0.960741,0.407066,0.508202,-0.202395,0.731481,-0.380892,0.222644,0.424139,0.001272,-0.405807,0.254133,0.415059,0.961034,-0.381776,0.212541,0.399131,0.914655,-0.423514,0.261122,0.368577,0.927478,-0.377974,0.233702,0.460959,0.927832,-0.357198,0.190792,0.429708,0.784907,-0.402458,0.274729,0.476890,0.964993,-0.338358,0.184275,0.475175,0.800669,-0.360044,0.169849,0.367652,0.899914,-0.063711,0.558583,0.414371,-0.108186,0.538920,0.149979,-0.084970,0.556346,0.237774,-0.081557,0.512040,0.448888,-0.159287,0.439804,0.198032,-0.147772,0.446547,0.265155,-0.141166,0.478159,0.169328,-0.091948,0.520564,0.282729,-0.101134,0.492044,0.380900,-0.405743,0.254276,0.415067,-0.381974,0.212770,0.398972,-0.423674,0.260880,0.368592,-0.378252,0.233700,0.460882,-0.358023,0.190554,0.429660,-0.402393,0.274721,0.477013,-0.338618,0.184196,0.475924,-0.360388,0.169789,0.367456
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,0.032780,-0.072441,0.189476,-0.978660,-0.108803,0.504779,0.283026,0.000997,-0.064283,0.558872,0.414363,0.845087,-0.107654,0.539208,0.149557,0.822164,-0.085769,0.556514,0.238036,0.779047,-0.081588,0.511955,0.448770,0.960979,-0.158818,0.439842,0.198142,0.879132,-0.147617,0.446617,0.265210,0.952209,-0.140571,0.478012,0.169405,0.850895,-0.092061,0.519997,0.282893,0.851600,-0.101016,0.492077,0.380880,0.960741,0.407083,0.508191,-0.202540,0.731439,-0.380906,0.222639,0.424143,0.001274,-0.405813,0.254134,0.415064,0.961034,-0.381796,0.212535,0.399137,0.914655,-0.423526,0.261123,0.368584,0.927478,-0.377979,0.233700,0.460963,0.927832,-0.357219,0.190781,0.429712,0.784907,-0.402451,0.274735,0.476893,0.964993,-0.338374,0.184264,0.475177,0.800669,-0.360079,0.169833,0.367659,0.899914,-0.063711,0.558574,0.414375,-0.108144,0.538909,0.149966,-0.084997,0.556342,0.237791,-0.081563,0.512045,0.448886,-0.159271,0.439810,0.198026,-0.147752,0.446547,0.265152,-0.141175,0.478152,0.169329,-0.091874,0.520549,0.282718,-0.101343,0.492072,0.380929,-0.405779,0.254267,0.415081,-0.382002,0.212770,0.398980,-0.423660,0.260884,0.368596,-0.378254,0.233707,0.460881,-0.358045,0.190548,0.429665,-0.402439,0.274722,0.477030,-0.338620,0.184180,0.475923,-0.360397,0.169770,0.367456
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,0.032768,-0.072499,0.189368,-0.978678,-0.108803,0.504782,0.283028,0.000995,-0.064280,0.558876,0.414364,0.838741,-0.107676,0.539219,0.149561,0.823816,-0.085786,0.556525,0.238039,0.792856,-0.081571,0.511953,0.448769,0.962720,-0.158814,0.439840,0.198146,0.882832,-0.147606,0.446612,0.265213,0.959298,-0.140578,0.478015,0.169409,0.843866,-0.092064,0.520004,0.282895,0.847856,-0.101002,0.492075,0.380880,0.917233,0.407088,0.508170,-0.202359,0.731501,-0.380902,0.222640,0.424142,0.001272,-0.405816,0.254130,0.415062,0.965539,-0.381783,0.212539,0.399134,0.912434,-0.423519,0.261120,0.368578,0.931350,-0.377988,0.233697,0.460964,0.928168,-0.357208,0.190788,0.429713,0.785179,-0.402474,0.274723,0.476894,0.965312,-0.338373,0.184270,0.475182,0.802451,-0.360047,0.169848,0.367656,0.904322,-0.063730,0.558581,0.414375,-0.108204,0.538924,0.149981,-0.084954,0.556339,0.237788,-0.081576,0.512050,0.448889,-0.159282,0.439806,0.198029,-0.147766,0.446542,0.265152,-0.141143,0.478157,0.169324,-0.091932,0.520554,0.282726,-0.101123,0.492049,0.380891,-0.405797,0.254269,0.415078,-0.382020,0.212767,0.398977,-0.423661,0.260879,0.368590,-0.378253,0.233699,0.460891,-0.358011,0.190558,0.429654,-0.402401,0.274713,0.477015,-0.338638,0.184187,0.475938,-0.360381,0.169784,0.367457
