Format Version,1.23,Take Name,Take 2023-05-20 07.22.07 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-05-20 07.22.08.515 오후,Capture Start Frame,1194492,Total Frames in Take,183,Total Exported Frames,183,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,c-arm,"c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker1","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker2","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker3","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker4","c-arm:Marker5","c-arm:Marker5","c-arm:Marker5","c-arm:Marker5","c-arm:Marker6","c-arm:Marker6","c-arm:Marker6","c-arm:Marker6","c-arm:Marker7","c-arm:Marker7","c-arm:Marker7","c-arm:Marker7","c-arm:Marker8","c-arm:Marker8","c-arm:Marker8","c-arm:Marker8","c-arm:Marker9","c-arm:Marker9","c-arm:Marker9","c-arm:Marker9",test1,test1,test1,test1,test1,test1,test1,test1,"test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker1","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker2","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker3","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker4","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker5","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker6","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker7","test1:Marker8","test1:Marker8","test1:Marker8","test1:Marker8",c-arm:Marker1,c-arm:Marker1,c-arm:Marker1,c-arm:Marker2,c-arm:Marker2,c-arm:Marker2,c-arm:Marker3,c-arm:Marker3,c-arm:Marker3,c-arm:Marker4,c-arm:Marker4,c-arm:Marker4,c-arm:Marker5,c-arm:Marker5,c-arm:Marker5,c-arm:Marker6,c-arm:Marker6,c-arm:Marker6,c-arm:Marker7,c-arm:Marker7,c-arm:Marker7,c-arm:Marker8,c-arm:Marker8,c-arm:Marker8,c-arm:Marker9,c-arm:Marker9,c-arm:Marker9,test1:Marker1,test1:Marker1,test1:Marker1,test1:Marker2,test1:Marker2,test1:Marker2,test1:Marker3,test1:Marker3,test1:Marker3,test1:Marker4,test1:Marker4,test1:Marker4,test1:Marker5,test1:Marker5,test1:Marker5,test1:Marker6,test1:Marker6,test1:Marker6,test1:Marker7,test1:Marker7,test1:Marker7,test1:Marker8,test1:Marker8,test1:Marker8
,ID,"CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","CA3FDF66F6F111ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","775DCA43F6F211ED1C21E954A500999C","D22C0","D22C0","D22C0","D2300","D2300","D2300","D22D0","D22D0","D22D0","D24D0","D24D0","D24D0","D2330","D2330","D2330","D2320","D2320","D2320","D2310","D2310","D2310","D22E0","D22E0","D22E0","D22F0","D22F0","D22F0","D2800","D2800","D2800","D2760","D2760","D2760","D2640","D2640","D2640","D25C0","D25C0","D25C0","D2660","D2660","D2660","D27F0","D27F0","D27F0","D2830","D2830","D2830","D2650","D2650","D2650"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.032758,-0.072524,0.189375,-0.978675,-0.108799,0.504774,0.283026,0.000997,-0.064269,0.558864,0.414361,0.849053,-0.107678,0.539216,0.149560,0.822160,-0.085783,0.556518,0.238037,0.788109,-0.081559,0.511941,0.448766,0.961613,-0.158815,0.439835,0.198144,0.882938,-0.147605,0.446606,0.265211,0.950241,-0.140581,0.478011,0.169408,0.842430,-0.092060,0.519996,0.282892,0.853840,-0.100994,0.492065,0.380878,0.964706,-0.314247,-0.621247,0.036581,-0.716912,-0.364687,0.252886,0.421624,0.001239,-0.401070,0.271696,0.417475,0.915610,-0.363854,0.245127,0.395791,0.864301,-0.424631,0.273940,0.373171,0.945943,-0.362885,0.261524,0.459156,0.975127,-0.329613,0.233488,0.422326,0.888297,-0.400281,0.287391,0.480811,0.972448,-0.305318,0.232214,0.465602,0.817507,-0.329826,0.217703,0.358699,0.816105,-0.063738,0.558577,0.414378,-0.108175,0.538915,0.149971,-0.084991,0.556343,0.237791,-0.081565,0.512035,0.448887,-0.159267,0.439803,0.198025,-0.147783,0.446538,0.265154,-0.141188,0.478158,0.169326,-0.091964,0.520550,0.282733,-0.101132,0.492043,0.380897,-0.401392,0.271708,0.417574,-0.364035,0.245531,0.395476,-0.424499,0.273790,0.373253,-0.362801,0.261502,0.459108,-0.329985,0.233420,0.422088,-0.400339,0.287324,0.480877,-0.305454,0.232193,0.466319,-0.330503,0.217421,0.358635
1,0.008333,0.032771,-0.072462,0.189440,-0.978666,-0.108799,0.504774,0.283027,0.000995,-0.064277,0.558866,0.414364,0.849053,-0.107658,0.539207,0.149559,0.822160,-0.085771,0.556512,0.238038,0.788109,-0.081578,0.511947,0.448770,0.961613,-0.158813,0.439836,0.198143,0.882938,-0.147609,0.446609,0.265210,0.950241,-0.140570,0.478008,0.169406,0.842430,-0.092058,0.519993,0.282894,0.853840,-0.101007,0.492069,0.380880,0.964706,-0.314235,-0.621273,0.036544,-0.716896,-0.364702,0.252886,0.421626,0.001239,-0.401086,0.271693,0.417479,0.915610,-0.363869,0.245129,0.395793,0.864301,-0.424649,0.273938,0.373176,0.945943,-0.362899,0.261523,0.459159,0.975127,-0.329626,0.233491,0.422326,0.888297,-0.400296,0.287386,0.480816,0.972448,-0.305330,0.232218,0.465601,0.817507,-0.329840,0.217708,0.358698,0.816105,-0.063766,0.558577,0.414389,-0.108171,0.538914,0.149974,-0.085007,0.556338,0.237793,-0.081606,0.512048,0.448903,-0.159277,0.439800,0.198020,-0.147776,0.446550,0.265151,-0.141171,0.478149,0.169326,-0.091962,0.520551,0.282730,-0.101142,0.492044,0.380903,-0.401418,0.271696,0.417575,-0.364096,0.245541,0.395487,-0.424527,0.273781,0.373267,-0.362818,0.261517,0.459118,-0.329953,0.233429,0.422080,-0.400320,0.287319,0.480865,-0.305498,0.232180,0.466328,-0.330506,0.217428,0.358628
2,0.016667,0.032759,-0.072462,0.189392,-0.978676,-0.108818,0.504781,0.283028,0.000998,-0.064302,0.558873,0.414367,0.844986,-0.107679,0.539219,0.149561,0.822684,-0.085795,0.556523,0.238040,0.775824,-0.081598,0.511951,0.448771,0.957442,-0.158825,0.439841,0.198142,0.885713,-0.147623,0.446613,0.265209,0.952551,-0.140586,0.478016,0.169406,0.852217,-0.092079,0.520002,0.282895,0.850954,-0.101025,0.492074,0.380880,0.919710,-0.314239,-0.621250,0.036576,-0.716913,-0.364705,0.252887,0.421625,0.001236,-0.401088,0.271696,0.417476,0.909062,-0.363872,0.245128,0.395793,0.865582,-0.424649,0.273940,0.373172,0.949992,-0.362903,0.261525,0.459158,0.983060,-0.329630,0.233489,0.422327,0.898325,-0.400299,0.287392,0.480812,0.978884,-0.305336,0.232217,0.465604,0.813050,-0.329843,0.217704,0.358700,0.815705,-0.063756,0.558580,0.414382,-0.108168,0.538913,0.149974,-0.084956,0.556345,0.237779,-0.081618,0.512047,0.448910,-0.159266,0.439809,0.198024,-0.147793,0.446546,0.265159,-0.141154,0.478156,0.169325,-0.091950,0.520560,0.282729,-0.101343,0.492068,0.380925,-0.401437,0.271699,0.417580,-0.364033,0.245534,0.395479,-0.424557,0.273786,0.373262,-0.362847,0.261518,0.459120,-0.329948,0.233429,0.422081,-0.400307,0.287323,0.480861,-0.305510,0.232181,0.466330,-0.330521,0.217422,0.358631
3,0.025000,0.032757,-0.072505,0.189378,-0.978676,-0.108798,0.504776,0.283028,0.000996,-0.064273,0.558866,0.414364,0.849117,-0.107672,0.539216,0.149561,0.814063,-0.085780,0.556519,0.238039,0.786529,-0.081565,0.511943,0.448768,0.961443,-0.158811,0.439837,0.198144,0.881955,-0.147604,0.446608,0.265211,0.950333,-0.140576,0.478012,0.169408,0.853829,-0.092060,0.519997,0.282894,0.848998,-0.100997,0.492067,0.380879,0.963973,-0.314232,-0.621262,0.036544,-0.716908,-0.364693,0.252887,0.421623,0.001235,-0.401077,0.271694,0.417475,0.897643,-0.363860,0.245129,0.395790,0.865087,-0.424639,0.273938,0.373171,0.946824,-0.362891,0.261524,0.459156,0.977530,-0.329617,0.233491,0.422325,0.897750,-0.400289,0.287388,0.480811,0.978844,-0.305322,0.232219,0.465601,0.812222,-0.329830,0.217708,0.358697,0.814434,-0.063747,0.558571,0.414384,-0.108214,0.538924,0.149979,-0.084985,0.556338,0.237787,-0.081555,0.512038,0.448890,-0.159266,0.439806,0.198021,-0.147781,0.446545,0.265148,-0.141140,0.478141,0.169328,-0.091954,0.520570,0.282732,-0.101138,0.492042,0.380900,-0.401470,0.271693,0.417591,-0.363997,0.245539,0.395467,-0.424516,0.273788,0.373259,-0.362815,0.261522,0.459108,-0.329937,0.233426,0.422079,-0.400290,0.287317,0.480858,-0.305507,0.232185,0.466328,-0.330514,0.217427,0.358635
4,0.033333,0.032756,-0.072511,0.189336,-0.978683,-0.108826,0.504780,0.283026,0.000998,-0.064303,0.558873,0.414362,0.849117,-0.107704,0.539222,0.149560,0.814063,-0.085813,0.556526,0.238038,0.786529,-0.081591,0.511948,0.448767,0.961443,-0.158835,0.439837,0.198143,0.881955,-0.147626,0.446609,0.265209,0.950333,-0.140602,0.478015,0.169407,0.853829,-0.092088,0.520003,0.282892,0.848998,-0.101023,0.492070,0.380878,0.963973,-0.314244,-0.621241,0.036523,-0.716922,-0.364713,0.252886,0.421627,0.001237,-0.401098,0.271693,0.417477,0.897643,-0.363879,0.245129,0.395794,0.865087,-0.424656,0.273939,0.373172,0.946824,-0.362914,0.261522,0.459160,0.977530,-0.329638,0.233491,0.422330,0.897750,-0.400313,0.287385,0.480814,0.978844,-0.305345,0.232217,0.465608,0.812222,-0.329846,0.217710,0.358702,0.814434,-0.063741,0.558575,0.414380,-0.108198,0.538921,0.149976,-0.084982,0.556341,0.237791,-0.081555,0.512041,0.448885,-0.159297,0.439803,0.198025,-0.147773,0.446543,0.265153,-0.141205,0.478153,0.169326,-0.091936,0.520565,0.282707,-0.101338,0.492065,0.380923,-0.401412,0.271707,0.417580,-0.364049,0.245537,0.395477,-0.424530,0.273784,0.373256,-0.362830,0.261511,0.459114,-0.329907,0.233436,0.422072,-0.400425,0.287310,0.480894,-0.305485,0.232186,0.466321,-0.330492,0.217427,0.358633
5,0.041667,0.032754,-0.072445,0.189385,-0.978679,-0.108816,0.504781,0.283026,0.000997,-0.064306,0.558874,0.414366,0.840870,-0.107674,0.539220,0.149559,0.821948,-0.085793,0.556524,0.238039,0.778528,-0.081603,0.511951,0.448770,0.961349,-0.158820,0.439841,0.198138,0.880489,-0.147620,0.446613,0.265206,0.957451,-0.140580,0.478016,0.169403,0.843988,-0.092078,0.520003,0.282894,0.847189,-0.101027,0.492074,0.380879,0.920335,-0.314217,-0.621263,0.036548,-0.716913,-0.364688,0.252888,0.421620,0.001236,-0.401073,0.271694,0.417471,0.917354,-0.363855,0.245129,0.395788,0.863994,-0.424634,0.273936,0.373168,0.945844,-0.362887,0.261526,0.459153,0.975792,-0.329612,0.233492,0.422322,0.905851,-0.400285,0.287389,0.480807,0.960951,-0.305317,0.232222,0.465599,0.817941,-0.329824,0.217707,0.358695,0.822711,-0.063716,0.558579,0.414371,-0.108189,0.538926,0.149975,-0.084982,0.556344,0.237784,-0.081625,0.512043,0.448910,-0.159267,0.439812,0.198017,-0.147786,0.446543,0.265151,-0.141155,0.478152,0.169321,-0.091949,0.520558,0.282726,-0.101372,0.492078,0.380936,-0.401402,0.271697,0.417580,-0.364028,0.245531,0.395474,-0.424471,0.273787,0.373243,-0.362807,0.261510,0.459105,-0.329932,0.233437,0.422078,-0.400322,0.287326,0.480861,-0.305516,0.232186,0.466325,-0.330522,0.217426,0.358634
